codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
Público:,$ 117 $ 102 $ 62 24990 CON-10M $ 50  $62 3,$ 117 $ 102 $ 62 24990 CON-10M $ 50  $62 3,TRUPER,INCLUYE: ESPECIFICACIONES:,GENERAL,Público:,Pieza,56,,56
103711,CTA-8M $ 149  $179 2 103710 CTA-7C $ 139 $149  2,CTA-8M $ 149  $179 2 103710 CTA-7C $ 139 $149  2,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,103711,Pieza,165,,165
12725,CULI-5X $ 165  $195 3 17002 * CULI-6 ● $ 50 $56 $6,CULI-5X $ 165  $195 3 17002 * CULI-6 ● $ 50 $56 $62 3,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,12725,Pieza,179,,179
14462,* NL-8 $ 64  $77 3 17003 CUEL-6 $ 48 $53 $58 3,* NL-8 $ 64  $77 3 17003 CUEL-6 $ 48 $53 $58 3,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,14462,Pieza,69,,69
18539,NEL-8 $ 199  $245 3 102941 CUBA-5 $ 50 $56 $62 3,NEL-8 $ 199  $245 3 102941 CUBA-5 $ 50 $56 $62 3,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,18539,Pieza,219,,219
23075,"CUCH-M50 5"" (13 cm) $ 21  $25 3 precisión de acero","CUCH-M50 5"" (13 cm) $ 21  $25 3 precisión de acero SK2 aluminio",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23075,Pieza,23,,23
23076,"CUCH-M60● 6"" (15 cm) $ 23  $28 3","CUCH-M60● 6"" (15 cm) $ 23  $28 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23076,Pieza,26,,26
23077,"CUCH-M70 7"" (18 cm) $ 25  $30 3 Perilla texturizad","CUCH-M70 7"" (18 cm) $ 25  $30 3 Perilla texturizada",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23077,Pieza,27,,27
23078,"CUCH-M80 8"" (20 cm) $ 29  $35 3 estuche con","CUCH-M80 8"" (20 cm) $ 29  $35 3 estuche con",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23078,Pieza,31,,31
23084,"CUCH-P50 5"" (13 cm) $ 21  $25 3 16969 EXA-6 ● 6 36","CUCH-P50 5"" (13 cm) $ 21  $25 3 16969 EXA-6 ● 6 36 $ 77 - $85 $93 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23084,Pieza,23,,23
23085,"CUCH-P60 6"" (15 cm) $ 23  $28 3 16979 REP-CUTEX● 1","CUCH-P60 6"" (15 cm) $ 23  $28 3 16979 REP-CUTEX● 12 48 $ 35 ($7 ) $39 $42 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23085,Pieza,26,,26
23086,"CUCH-P70 7"" (18 cm) $ 25  $30 3","CUCH-P70 7"" (18 cm) $ 25  $30 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23086,Pieza,27,,27
23087,"CUCH-P80 8"" (20 cm) $ 29  $35 3","CUCH-P80 8"" (20 cm) $ 29  $35 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23087,Pieza,31,,31
23079,"CUCH-M51 5"" (13 cm) $ 23  $28 3 Cincelado pesado 1","CUCH-M51 5"" (13 cm) $ 23  $28 3 Cincelado pesado 1",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23079,Pieza,26,,26
23080,"CUCH-M61 6"" (15 cm) $ 26  $31 3","CUCH-M61 6"" (15 cm) $ 26  $31 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23080,Pieza,29,,29
23081,"CUCH-M71 7"" (18 cm) $ 29  $35 3","CUCH-M71 7"" (18 cm) $ 29  $35 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23081,Pieza,31,,31
23082,"CUCH-M81 8"" (20 cm) $ 33  $39 3","CUCH-M81 8"" (20 cm) $ 33  $39 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23082,Pieza,36,,36
23088,"CUCH-P51 5"" (13 cm) $ 23  $28 3","CUCH-P51 5"" (13 cm) $ 23  $28 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23088,Pieza,26,,26
23089,"CUCH-P61 6"" (15 cm) $ 26  $31 3 17512 EXA-11 $ 189","CUCH-P61 6"" (15 cm) $ 26  $31 3 17512 EXA-11 $ 189 $209 $229 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23089,Pieza,29,,29
23090,"CUCH-P71 7"" (18 cm) $ 29  $35 3","CUCH-P71 7"" (18 cm) $ 29  $35 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23090,Pieza,31,,31
23091,"CUCH-P81 ● 8"" (20 cm) $ 33  $39 3","CUCH-P81 ● 8"" (20 cm) $ 33  $39 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23091,Pieza,36,,36
23083,"CUCH-M52 5""(13 cm) $ 15.50  $19 3 de acero al carb","CUCH-M52 5""(13 cm) $ 15.50  $19 3 de acero al carbono",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23083,Pieza,17,,17
23092,"CUCH-P52● 5""(13 cm) $ 15.50  $19 3","CUCH-P52● 5""(13 cm) $ 15.50  $19 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23092,Pieza,17,,17
23093,"CUCH-P53 5""(13 cm) $ 17  $ 20 3","CUCH-P53 5""(13 cm) $ 17  $ 20 3",TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,23093,Pieza,18.50,,18.50
Caja,6 /Máster 240/MM 00 Liso 22409 EXA-13P ● $ 97  $11,6 /Máster 240/MM 00 Liso 22409 EXA-13P ● $ 97  $117 3,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,Caja,Pieza,107,,107
100098,REP-CUT-5X 9 mm 0.4 mm 6 144  ($2.30) $26 $28 3,REP-CUT-5X 9 mm 0.4 mm 6 144  ($2.30) $26 $28 3,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,100098,Pieza,23,,23
100099,REP-CUT-6X 18 mm 0.5 mm 6 144  ($4.20) $46 $49 3,REP-CUT-6X 18 mm 0.5 mm 6 144  ($4.20) $46 $49 3,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,100099,Pieza,42,,42
100130,REP-CUT-7X 25 mm 0.7 mm 6 96  ($10.30) $113 $125 3,REP-CUT-7X 25 mm 0.7 mm 6 96  ($10.30) $113 $125 3 resistencia,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,100130,Pieza,103,,103
100131,REP-CUT-650X 18 mm 0.5 mm 2 20  ($3.50) $195 $215 ,REP-CUT-650X 18 mm 0.5 mm 2 20  ($3.50) $195 $215 3,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,100131,Pieza,175,,175
16962*,REP-CUT-5 9 mm 0.4 mm 12 144  ($2) $22 $24 3 Doble,REP-CUT-5 9 mm 0.4 mm 12 144  ($2) $22 $24 3 Doble bisel para cortes,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,16962*,Pieza,20,,20
16965*,REP-CUT-6● 18 mm 0.5 mm 12 144  ($3.30) $35 $39 3 ,REP-CUT-6● 18 mm 0.5 mm 12 144  ($3.30) $35 $39 3 m,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,16965*,Pieza,33,,33
17903,REP-CUT-7 25 mm 0.7 mm 12 96  ($8) $89 $97 3,REP-CUT-7 25 mm 0.7 mm 12 96  ($8) $89 $97 3,TRUPER,CAPACIDAD PARA CASQUILLOS,GENERAL,17903,Pieza,80,,80
