codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
SOL-1x1/8,"Solera 1"" x 1/8""",Solera de acero 1 pulgada x 1/8 espesor longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,SOL-1x1/8,Pieza,125.50,115.46,144.32
SOL-2x1/4,"Solera 2"" x 1/4""",Solera de acero 2 pulgadas x 1/4 espesor longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,SOL-2x1/4,Pieza,245.75,226.09,282.61
TUB-CUA-1x1,"Tubo Cuadrado 1"" x 1""",Tubo cuadrado estructural 1x1 pulgada calibre 16 longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,TUB-CUA-1x1,Pieza,165.99,152.71,190.89
TUB-CUA-2x2,"Tubo Cuadrado 2"" x 2""",Tubo cuadrado estructural 2x2 pulgada calibre 14 longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,TUB-CUA-2x2,Pieza,389.50,358.34,447.92
TUB-REC-2x1,"Tubo Rectangular 2"" x 1""",Tubo rectangular estructural 2x1 pulgada calibre 16 longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,TUB-REC-2x1,Pieza,245.00,225.40,281.75
LAM-GAL-26-1.22x2.44,Lámina Galvanizada Cal 26,Lámina galvanizada calibre 26 medida 1.22x2.44m lisa,TERNIUM,CONSTRUCCION,LAMINA_GALVANIZADA,LAM-GAL-26-1.22x2.44,Pieza,445.99,392.47,526.27
LAM-GAL-24-1.22x2.44,Lámina Galvanizada Cal 24,Lámina galvanizada calibre 24 medida 1.22x2.44m lisa,TERNIUM,CONSTRUCCION,LAMINA_GALVANIZADA,LAM-GAL-24-1.22x2.44,Pieza,565.75,497.86,667.58
LAM-GAL-22-1.22x2.44,Lámina Galvanizada Cal 22,Lámina galvanizada calibre 22 medida 1.22x2.44m lisa,TERNIUM,CONSTRUCCION,LAMINA_GALVANIZADA,LAM-GAL-22-1.22x2.44,Pieza,689.50,606.76,813.61
LAM-GAL-20-1.22x2.44,Lámina Galvanizada Cal 20,Lámina galvanizada calibre 20 medida 1.22x2.44m lisa,TERNIUM,CONSTRUCCION,LAMINA_GALVANIZADA,LAM-GAL-20-1.22x2.44,Pieza,825.99,726.87,974.67
LAM-ACR-26,Lámina Acanalada Cal 26,Lámina acanalada galvanizada calibre 26 medida 1.22x2.44m R-72,TERNIUM,CONSTRUCCION,LAMINA_GALVANIZADA,LAM-ACR-26,Pieza,475.50,418.44,561.09
LAM-ACR-24,Lámina Acanalada Cal 24,Lámina acanalada galvanizada calibre 24 medida 1.22x2.44m R-72,TERNIUM,CONSTRUCCION,LAMINA_GALVANIZADA,LAM-ACR-24,Pieza,595.25,523.82,702.39
LAM-TRA-26,Lámina Trapezoidal Cal 26,Lámina trapezoidal galvanizada calibre 26 medida 1.15x2.44m,TERNIUM,CONSTRUCCION,LAMINA_GALVANIZADA,LAM-TRA-26,Pieza,515.75,453.86,608.58
LAM-TRA-24,Lámina Trapezoidal Cal 24,Lámina trapezoidal galvanizada calibre 24 medida 1.15x2.44m,TERNIUM,CONSTRUCCION,LAMINA_GALVANIZADA,LAM-TRA-24,Pieza,635.99,559.67,750.47
MAP-FLEX-4,MAPCO Flexural 4 Kg,Impermeabilizante asfáltico MAPCO Flexural cubeta 4 kg fibrado,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-FLEX-4,Cubeta,285.50,251.24,336.89
MAP-FLEX-10,MAPCO Flexural 10 Kg,Impermeabilizante asfáltico MAPCO Flexural cubeta 10 kg fibrado,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-FLEX-10,Cubeta,565.99,498.07,667.87
MAP-FLEX-20,MAPCO Flexural 20 Kg,Impermeabilizante asfáltico MAPCO Flexural cubeta 20 kg fibrado,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-FLEX-20,Cubeta,995.75,876.26,1174.98
MAP-PLAS-4,MAPCO Plástico 4 Kg,Impermeabilizante plástico MAPCO cubeta 4 kg color blanco,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-PLAS-4,Cubeta,325.99,286.87,384.67
MAP-PLAS-10,MAPCO Plástico 10 Kg,Impermeabilizante plástico MAPCO cubeta 10 kg color blanco,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-PLAS-10,Cubeta,655.50,576.84,773.49
MAP-PLAS-20,MAPCO Plástico 20 Kg,Impermeabilizante plástico MAPCO cubeta 20 kg color blanco,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-PLAS-20,Cubeta,1145.75,1008.26,1351.98
MAP-PRI-4,MAPCO Primer 4 Kg,Primer asfáltico MAPCO preparador de superficie cubeta 4 kg,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-PRI-4,Cubeta,245.99,216.47,290.27
MAP-PRI-10,MAPCO Primer 10 Kg,Primer asfáltico MAPCO preparador de superficie cubeta 10 kg,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-PRI-10,Cubeta,485.50,427.24,572.89
MAP-POL-10M,MAPCO Polietileno 10m²,Membrana MAPCO polietileno reforzado rollo 10 metros cuadrados,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-POL-10M,Rollo,445.75,392.26,525.99
MAP-POL-40M,MAPCO Polietileno 40m²,Membrana MAPCO polietileno reforzado rollo 40 metros cuadrados,MAPCO,CONSTRUCCION,PRODUCTOS_MAPCO,MAP-POL-40M,Rollo,1565.99,1378.07,1847.87
MAL-6x6-4.5,Malla Electrosoldada 6x6-4.5,Malla electrosoldada 6x6 pulgadas alambrón 4.5mm hoja 2.44x6m,SUMEX,CONSTRUCCION,MALLA_ELECTROSOLDADA,MAL-6x6-4.5,Hoja,425.50,382.95,489.32
MAL-6x6-5.5,Malla Electrosoldada 6x6-5.5,Malla electrosoldada 6x6 pulgadas alambrón 5.5mm hoja 2.44x6m,SUMEX,CONSTRUCCION,MALLA_ELECTROSOLDADA,MAL-6x6-5.5,Hoja,565.75,509.18,650.61
MAL-6x6-6.5,Malla Electrosoldada 6x6-6.5,Malla electrosoldada 6x6 pulgadas alambrón 6.5mm hoja 2.44x6m,SUMEX,CONSTRUCCION,MALLA_ELECTROSOLDADA,MAL-6x6-6.5,Hoja,725.99,653.39,834.89
MAL-4x4-4.5,Malla Electrosoldada 4x4-4.5,Malla electrosoldada 4x4 pulgadas alambrón 4.5mm hoja 2.44x6m,SUMEX,CONSTRUCCION,MALLA_ELECTROSOLDADA,MAL-4x4-4.5,Hoja,485.25,436.73,558.04
MAL-10x10-4.5,Malla Electrosoldada 10x10-4.5,Malla electrosoldada 10x10 pulgadas alambrón 4.5mm hoja 2.44x6m,SUMEX,CONSTRUCCION,MALLA_ELECTROSOLDADA,MAL-10x10-4.5,Hoja,365.50,328.95,420.32
ALA-REP-16,Alambre Recocido #16,Alambre recocido calibre 16 para amarre rollo 50 kg,ALAMACON,CONSTRUCCION,ALAMBRE_ALAMACON,ALA-REP-16,Rollo,1245.75,1121.17,1432.61
ALA-REP-18,Alambre Recocido #18,Alambre recocido calibre 18 para amarre rollo 50 kg,ALAMACON,CONSTRUCCION,ALAMBRE_ALAMACON,ALA-REP-18,Rollo,1325.50,1192.95,1524.32
ALA-GAL-12,Alambre Galvanizado #12,Alambre galvanizado calibre 12 rollo 25 kg uso general,ALAMACON,CONSTRUCCION,ALAMBRE_ALAMACON,ALA-GAL-12,Rollo,865.99,779.39,995.89
ALA-GAL-14,Alambre Galvanizado #14,Alambre galvanizado calibre 14 rollo 25 kg uso general,ALAMACON,CONSTRUCCION,ALAMBRE_ALAMACON,ALA-GAL-14,Rollo,925.75,833.18,1064.61
ALA-PUA-4H,Alambre Púa 4 Hilos,Alambre de púa galvanizado 4 hilos rollo 400m cerco,ALAMACON,CONSTRUCCION,ALAMBRE_ALAMACON,ALA-PUA-4H,Rollo,1165.50,1048.95,1340.32
CLA-2.5,Clavo 2.5 pulgadas,Clavo común 2.5 pulgadas calibre 8 caja 50 libras,NACOBRE,CONSTRUCCION,CLAVOS_TORNILLOS,CLA-2.5,Caja,1285.99,1157.39,1478.89
CLA-3,Clavo 3 pulgadas,Clavo común 3 pulgadas calibre 8 caja 50 libras,NACOBRE,CONSTRUCCION,CLAVOS_TORNILLOS,CLA-3,Caja,1325.50,1192.95,1524.32
CLA-4,Clavo 4 pulgadas,Clavo común 4 pulgadas calibre 6 caja 50 libras,NACOBRE,CONSTRUCCION,CLAVOS_TORNILLOS,CLA-4,Caja,1385.75,1247.17,1593.61
TOR-LAM-1,Tornillo Lámina 1 pulgada,Tornillo autorroscante para lámina 1 pulgada caja 100 piezas,NACOBRE,CONSTRUCCION,CLAVOS_TORNILLOS,TOR-LAM-1,Caja,125.99,113.39,144.89
TOR-LAM-2,Tornillo Lámina 2 pulgadas,Tornillo autorroscante para lámina 2 pulgadas caja 100 piezas,NACOBRE,CONSTRUCCION,CLAVOS_TORNILLOS,TOR-LAM-2,Caja,165.50,148.95,190.32
TOR-LAM-3,Tornillo Lámina 3 pulgadas,Tornillo autorroscante para lámina 3 pulgadas caja 100 piezas,NACOBRE,CONSTRUCCION,CLAVOS_TORNILLOS,TOR-LAM-3,Caja,195.75,176.18,225.11
BLO-HUE-12,Block Hueco 12 cm,Block de concreto hueco 12x20x40 cm resistencia 40 kg/cm²,LOCAL,CONSTRUCCION,BLOCK_TABIQUE,BLO-HUE-12,Pieza,12.50,11.25,14.37
BLO-HUE-15,Block Hueco 15 cm,Block de concreto hueco 15x20x40 cm resistencia 40 kg/cm²,LOCAL,CONSTRUCCION,BLOCK_TABIQUE,BLO-HUE-15,Pieza,15.75,14.18,18.11
BLO-HUE-20,Block Hueco 20 cm,Block de concreto hueco 20x20x40 cm resistencia 40 kg/cm²,LOCAL,CONSTRUCCION,BLOCK_TABIQUE,BLO-HUE-20,Pieza,19.99,17.99,22.99
TAB-ROJ-7,Tabique Rojo 7 cm,Tabique rojo recocido 7x14x28 cm primera calidad,LOCAL,CONSTRUCCION,BLOCK_TABIQUE,TAB-ROJ-7,Pieza,8.25,7.42,9.49
TAB-ROJ-12,Tabique Rojo 12 cm,Tabique rojo recocido 12x14x28 cm primera calidad,LOCAL,CONSTRUCCION,BLOCK_TABIQUE,TAB-ROJ-12,Pieza,13.50,12.15,15.52
BLO-VIB-15,Block Vibrado 15 cm,Block vibro comprimido 15x20x40 cm alta resistencia,LOCAL,CONSTRUCCION,BLOCK_TABIQUE,BLO-VIB-15,Pieza,18.75,16.88,21.56
